# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2	8.468e-09	1.0962e-08	1.0178e-08	1.0398e-08	1.0442e-08	1.0568e-08	1.0488e-08	1.056e-08	1.112e-08	1.0686e-08	8.96e-09	7.716e-09	7.646e-09	7.214e-09	7.066e-09	6.876e-09	5.732e-09	5.334e-09	5.272e-09	5.146e-09	5.116e-09	5.146e-09	5.43e-09	6.34e-09	8.468e-09	1.0962e-08	1.0178e-08	1.0398e-08	1.0442e-08	1.0568e-08	1.0488e-08	1.056e-08	1.112e-08	1.0686e-08	8.96e-09	7.716e-09	7.646e-09	7.214e-09	7.066e-09	6.876e-09	5.732e-09	5.334e-09	5.272e-09	5.146e-09	5.116e-09	5.146e-09	5.43e-09	6.34e-09        8.468e-09
NO2	3.024e-09	3.334e-09	3.063e-09	3.281e-09	3.372e-09	3.523e-09	3.402e-09	3.551e-09	3.413e-09	3.985e-09	3.308e-09	2.933e-09	2.38e-09	1.935e-09	1.798e-09	1.537e-09	9.633e-10	8.873e-10	7.968e-10	6.156e-10	5.92e-10	6.32e-10	9.871e-10	1.901e-09	3.024e-09	3.334e-09	3.063e-09	3.281e-09	3.372e-09	3.523e-09	3.402e-09	3.551e-09	3.413e-09	3.985e-09	3.308e-09	2.933e-09	2.38e-09	1.935e-09	1.798e-09	1.537e-09	9.633e-10	8.873e-10	7.968e-10	6.156e-10	5.92e-10	6.32e-10	9.871e-10	1.901e-09       3.024e-09
NO	5.749e-08	6.338e-08	5.825e-08	6.237e-08	6.411e-08	6.699e-08	6.468e-08	6.753e-08	6.488e-08	7.575e-08	6.291e-08	5.576e-08	4.524e-08	3.679e-08	3.419e-08	2.924e-08	1.832e-08	1.687e-08	1.515e-08	1.171e-08	1.125e-08	1.202e-08	1.877e-08	3.615e-08	5.749e-08	6.338e-08	5.825e-08	6.237e-08	6.411e-08	6.699e-08	6.468e-08	6.753e-08	6.488e-08	7.575e-08	6.291e-08	5.576e-08	4.524e-08	3.679e-08	3.419e-08	2.924e-08	1.832e-08	1.687e-08	1.515e-08	1.171e-08	1.125e-08	1.202e-08	1.877e-08	3.615e-08       5.749e-08
NH3	8.93e-09	8.705e-09	1.639e-08	1.466e-08	1.6405e-08	1.8805e-08	1.65e-08	1.8045e-08	1.347e-08	6.745e-09	5.415e-09	2.553e-09	2.087e-09	2.2885e-09	2.7265e-09	2.738e-09	9.96e-10	2.707e-09	9.84e-10	9.675e-10	9.905e-10	1.0345e-09	1.0825e-09	2.7465e-09	8.93e-09	8.705e-09	1.639e-08	1.466e-08	1.6405e-08	1.8805e-08	1.65e-08	1.8045e-08	1.347e-08	6.745e-09	5.415e-09	2.553e-09	2.087e-09	2.2885e-09	2.7265e-09	2.738e-09	9.96e-10	2.707e-09	9.84e-10	9.675e-10	9.905e-10	1.0345e-09	1.0825e-09	2.7465e-09       8.93e-09
CO	7.839e-07	5.837e-07	4.154e-07	4.458e-07	4.657e-07	4.912e-07	4.651e-07	4.907e-07	6.938e-07	8.85e-07	8.135e-07	4.573e-07	3.349e-07	2.437e-07	2.148e-07	1.662e-07	8.037e-08	7.841e-08	6.411e-08	2.551e-08	2.056e-08	3.058e-08	1.083e-07	3.938e-07	7.839e-07	5.837e-07	4.154e-07	4.458e-07	4.657e-07	4.912e-07	4.651e-07	4.907e-07	6.938e-07	8.85e-07	8.135e-07	4.573e-07	3.349e-07	2.437e-07	2.148e-07	1.662e-07	8.037e-08	7.841e-08	6.411e-08	2.551e-08	2.056e-08	3.058e-08	1.083e-07	3.938e-07       7.839e-07
ALD2	1.702e-09	1.283e-09	9.397e-10	1.024e-09	1.076e-09	1.132e-09	1.068e-09	1.13e-09	1.651e-09	2.132e-09	1.985e-09	1.081e-09	7.847e-10	5.676e-10	5.003e-10	3.838e-10	1.784e-10	1.766e-10	1.43e-10	5.173e-11	4.028e-11	6.349e-11	2.428e-10	8.716e-10	1.702e-09	1.283e-09	9.397e-10	1.024e-09	1.076e-09	1.132e-09	1.068e-09	1.13e-09	1.651e-09	2.132e-09	1.985e-09	1.081e-09	7.847e-10	5.676e-10	5.003e-10	3.838e-10	1.784e-10	1.766e-10	1.43e-10	5.173e-11	4.028e-11	6.349e-11	2.428e-10	8.716e-10       1.702e-09
