# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 2.403E-10 3.111E-10 2.888E-10 2.95E-10 2.963E-10 2.999E-10 2.976E-10 2.996E-10 3.155E-10 3.032E-10 2.542E-10 2.189E-10 2.17E-10 2.047E-10 2.005E-10 1.951E-10 1.626E-10 1.514E-10 1.496E-10 1.46E-10 1.452E-10 1.46E-10 1.541E-10 1.799E-10 2.403E-10 3.111E-10 2.888E-10 2.95E-10 2.963E-10 2.999E-10 2.976E-10 2.996E-10 3.155E-10 3.032E-10 2.542E-10 2.189E-10 2.17E-10 2.047E-10 2.005E-10 1.951E-10 1.626E-10 1.514E-10 1.496E-10 1.46E-10 1.452E-10 1.46E-10 1.541E-10 1.799E-10 2.403E-10 
NO2 4.736E-09 5.221E-09 4.797E-09 5.138E-09 5.281E-09 5.517E-09 5.328E-09 5.561E-09 5.345E-09 6.241E-09 5.181E-09 4.593E-09 3.727E-09 3.03E-09 2.816E-09 2.407E-09 1.509E-09 1.39E-09 1.248E-09 9.641E-10 9.271E-10 9.898E-10 1.546E-09 2.977E-09 4.736E-09 5.221E-09 4.797E-09 5.138E-09 5.281E-09 5.517E-09 5.328E-09 5.561E-09 5.345E-09 6.241E-09 5.181E-09 4.593E-09 3.727E-09 3.03E-09 2.816E-09 2.407E-09 1.509E-09 1.39E-09 1.248E-09 9.641E-10 9.271E-10 9.898E-10 1.546E-09 2.977E-09 4.736E-09 
NO 5.975E-08 6.587E-08 6.054E-08 6.482E-08 6.663E-08 6.962E-08 6.722E-08 7.019E-08 6.743E-08 7.873E-08 6.538E-08 5.795E-08 4.702E-08 3.824E-08 3.553E-08 3.039E-08 1.904E-08 1.753E-08 1.575E-08 1.217E-08 1.169E-08 1.249E-08 1.951E-08 3.757E-08 5.975E-08 6.587E-08 6.054E-08 6.482E-08 6.663E-08 6.962E-08 6.722E-08 7.019E-08 6.743E-08 7.873E-08 6.538E-08 5.795E-08 4.702E-08 3.824E-08 3.553E-08 3.039E-08 1.904E-08 1.753E-08 1.575E-08 1.217E-08 1.169E-08 1.249E-08 1.951E-08 3.757E-08 5.975E-08 
NH3 3.519E-09 3.43E-09 6.458E-09 5.777E-09 6.464E-09 7.41E-09 6.502E-09 7.111E-09 5.308E-09 2.658E-09 2.134E-09 1.006E-09 8.224E-10 9.018E-10 1.074E-09 1.079E-09 3.925E-10 1.067E-09 3.877E-10 3.812E-10 3.903E-10 4.076E-10 4.266E-10 1.082E-09 3.519E-09 3.43E-09 6.458E-09 5.777E-09 6.464E-09 7.41E-09 6.502E-09 7.111E-09 5.308E-09 2.658E-09 2.134E-09 1.006E-09 8.224E-10 9.018E-10 1.074E-09 1.079E-09 3.925E-10 1.067E-09 3.877E-10 3.812E-10 3.903E-10 4.076E-10 4.266E-10 1.082E-09 3.519E-09 
CO 5.604E-07 4.173E-07 2.969E-07 3.187E-07 3.329E-07 3.511E-07 3.325E-07 3.508E-07 4.96E-07 6.326E-07 5.815E-07 3.269E-07 2.394E-07 1.742E-07 1.535E-07 1.188E-07 5.745E-08 5.605E-08 4.583E-08 1.824E-08 1.47E-08 2.186E-08 7.742E-08 2.815E-07 5.604E-07 4.173E-07 2.969E-07 3.187E-07 3.329E-07 3.511E-07 3.325E-07 3.508E-07 4.96E-07 6.326E-07 5.815E-07 3.269E-07 2.394E-07 1.742E-07 1.535E-07 1.188E-07 5.745E-08 5.605E-08 4.583E-08 1.824E-08 1.47E-08 2.186E-08 7.742E-08 2.815E-07 5.604E-07 
ALD2 6.06E-10 4.568E-10 3.346E-10 3.646E-10 3.831E-10 4.03E-10 3.802E-10 4.023E-10 5.878E-10 7.591E-10 7.067E-10 3.849E-10 2.794E-10 2.021E-10 1.781E-10 1.366E-10 6.352E-11 6.288E-11 5.091E-11 1.842E-11 1.434E-11 2.26E-11 8.644E-11 3.103E-10 6.06E-10 4.568E-10 3.346E-10 3.646E-10 3.831E-10 4.03E-10 3.802E-10 4.023E-10 5.878E-10 7.591E-10 7.067E-10 3.849E-10 2.794E-10 2.021E-10 1.781E-10 1.366E-10 6.352E-11 6.288E-11 5.091E-11 1.842E-11 1.434E-11 2.26E-11 8.644E-11 3.103E-10 6.06E-10 
HCHO 3.023E-09 2.401E-09 1.816E-09 1.965E-09 2.05E-09 2.15E-09 2.04E-09 2.148E-09 3.043E-09 3.861E-09 3.5E-09 1.936E-09 1.432E-09 1.051E-09 9.32E-10 7.277E-10 3.489E-10 3.467E-10 2.856E-10 1.278E-10 1.078E-10 1.471E-10 4.61E-10 1.556E-09 3.023E-09 2.401E-09 1.816E-09 1.965E-09 2.05E-09 2.15E-09 2.04E-09 2.148E-09 3.043E-09 3.861E-09 3.5E-09 1.936E-09 1.432E-09 1.051E-09 9.32E-10 7.277E-10 3.489E-10 3.467E-10 2.856E-10 1.278E-10 1.078E-10 1.471E-10 4.61E-10 1.556E-09 3.023E-09 
ETH 1.265E-09 9.519E-10 6.911E-10 7.493E-10 7.856E-10 8.273E-10 7.815E-10 8.246E-10 1.236E-09 1.588E-09 1.471E-09 7.842E-10 5.737E-10 4.191E-10 3.705E-10 2.819E-10 1.336E-10 1.319E-10 1.078E-10 4.218E-11 3.403E-11 5.078E-11 1.815E-10 6.485E-10 1.265E-09 9.519E-10 6.911E-10 7.493E-10 7.856E-10 8.273E-10 7.815E-10 8.246E-10 1.236E-09 1.588E-09 1.471E-09 7.842E-10 5.737E-10 4.191E-10 3.705E-10 2.819E-10 1.336E-10 1.319E-10 1.078E-10 4.218E-11 3.403E-11 5.078E-11 1.815E-10 6.485E-10 1.265E-09 
OLEI 4.134E-09 3.178E-09 2.345E-09 2.549E-09 2.677E-09 2.815E-09 2.67E-09 2.816E-09 4.236E-09 5.418E-09 5.015E-09 2.598E-09 1.889E-09 1.371E-09 1.202E-09 9.3E-10 4.402E-10 4.444E-10 3.563E-10 1.452E-10 1.187E-10 1.724E-10 6.219E-10 2.125E-09 4.134E-09 3.178E-09 2.345E-09 2.549E-09 2.677E-09 2.815E-09 2.67E-09 2.816E-09 4.236E-09 5.418E-09 5.015E-09 2.598E-09 1.889E-09 1.371E-09 1.202E-09 9.3E-10 4.402E-10 4.444E-10 3.563E-10 1.452E-10 1.187E-10 1.724E-10 6.219E-10 2.125E-09 4.134E-09 
OLET 1.325E-10 1.018E-10 7.514E-11 8.169E-11 8.577E-11 9.02E-11 8.555E-11 9.024E-11 1.357E-10 1.736E-10 1.607E-10 8.325E-11 6.053E-11 4.394E-11 3.851E-11 2.98E-11 1.41E-11 1.424E-11 1.142E-11 4.653E-12 3.804E-12 5.523E-12 1.993E-11 6.808E-11 1.325E-10 1.018E-10 7.514E-11 8.169E-11 8.577E-11 9.02E-11 8.555E-11 9.024E-11 1.357E-10 1.736E-10 1.607E-10 8.325E-11 6.053E-11 4.394E-11 3.851E-11 2.98E-11 1.41E-11 1.424E-11 1.142E-11 4.653E-12 3.804E-12 5.523E-12 1.993E-11 6.808E-11 1.325E-10 
TOL 3.018E-09 4.307E-09 3.836E-09 3.969E-09 4.057E-09 4.16E-09 4.065E-09 4.159E-09 5.046E-09 5.634E-09 3.63E-09 2.07E-09 1.523E-09 1.129E-09 9.943E-10 7.791E-10 4.435E-10 3.317E-10 2.669E-10 1.218E-10 1.042E-10 1.411E-10 4.6E-10 1.555E-09 3.018E-09 4.307E-09 3.836E-09 3.969E-09 4.057E-09 4.16E-09 4.065E-09 4.159E-09 5.046E-09 5.634E-09 3.63E-09 2.07E-09 1.523E-09 1.129E-09 9.943E-10 7.791E-10 4.435E-10 3.317E-10 2.669E-10 1.218E-10 1.042E-10 1.411E-10 4.6E-10 1.555E-09 3.018E-09 
XYL 9.849E-09 8.397E-09 6.438E-09 6.876E-09 7.142E-09 7.456E-09 7.142E-09 7.488E-09 1.062E-08 1.31E-08 1.135E-08 6.042E-09 4.441E-09 3.27E-09 2.902E-09 2.29E-09 1.205E-09 1.191E-09 9.564E-10 4.744E-10 4.148E-10 5.381E-10 1.504E-09 5.032E-10 9.849E-09 8.397E-09 6.438E-09 6.876E-09 7.142E-09 7.456E-09 7.142E-09 7.488E-09 1.062E-08 1.31E-08 1.135E-08 6.042E-09 4.441E-09 3.27E-09 2.902E-09 2.29E-09 1.205E-09 1.191E-09 9.564E-10 4.744E-10 4.148E-10 5.381E-10 1.504E-09 5.032E-10 9.849E-09 
