# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time            0             3600         7200         10800         14400         18000        21600       25200        28800     32400     36000     39600     43200     46800     50400     54000     57600     61200     64800     68400     72000     75600     79200     82800     90000    93600    97200    100800    104400    108000
rate      0.5    0.5      0.5    0.5    0.5     0.5     0.5     0.5    0.5  0.5    0.5   0.5   0    0    0   0   0     0      0     0     0     0     0     0	0	0	0	0	0	0     
#rate      0.8    0.8      0.8    0.8    0.8     0.8     0.8     0.8    0.8  0.8    0.8   0.8   0    0    0   0   0     0      0     0     0     0     0     0 
#rate            1        1           1         1            1           1           1           1          1        1          1         1        0        0         0          0         0          0          0          0        0          0          0         0     0     0     0     0     0     0
SO2 7.261E-09 9.4E-09 8.728E-09 8.916E-09 8.954E-09 9.062E-09 8.994E-09 9.055E-09 9.536E-09 9.163E-09 7.683E-09 6.617E-09 6.557E-09 6.186E-09 6.059E-09 5.896E-09 4.915E-09 4.574E-09 4.521E-09 4.413E-09 4.387E-09 4.413E-09 4.656E-09 5.437E-09 7.261E-09 9.4E-09 8.728E-09 8.916E-09 8.954E-09 9.062E-09 
NO2 6.804E-11 7.502E-11 6.892E-11 7.382E-11 7.587E-11 7.927E-11 7.655E-11 7.99E-11 7.679E-11 8.966E-11 7.443E-11 6.599E-11 5.355E-11 4.354E-11 4.046E-11 3.458E-11 2.167E-11 1.996E-11 1.793E-11 1.385E-11 1.332E-11 1.422E-11 2.221E-11 4.277E-11 5.4E-13 7.502E-11 6.892E-11 7.382E-11 7.587E-11 7.927E-11 
NO 2.206E-08 2.432E-08 2.235E-08 2.393E-08 2.46E-08 2.57E-08 2.482E-08 2.591E-08 2.489E-08 2.906E-08 2.414E-08 2.139E-08 1.736E-08 1.412E-08 1.312E-08 1.122E-08 7.029E-09 6.473E-09 5.813E-09 4.493E-09 4.316E-09 4.612E-09 7.202E-09 1.387E-08 2.206E-08 2.432E-08 2.235E-08 2.393E-08 2.46E-08 2.57E-08 
NH3 1.516E-08 1.478E-08 2.783E-08 2.489E-08 2.785E-08 3.193E-08 2.802E-08 3.064E-08 2.287E-08 1.145E-08 9.194E-09 4.335E-09 3.544E-09 3.886E-09 4.629E-09 4.649E-09 1.691E-09 4.596E-09 1.671E-09 1.643E-09 1.682E-09 1.756E-09 1.838E-09 4.663E-09 1.516E-08 1.478E-08 2.783E-08 2.489E-08 2.785E-08 3.193E-08 
CO 5.966E-07 4.442E-07 3.161E-07 3.393E-07 3.544E-07 3.738E-07 3.539E-07 3.734E-07 5.28E-07 6.735E-07 6.191E-07 3.48E-07 2.549E-07 1.855E-07 1.635E-07 1.265E-07 6.116E-08 5.967E-08 4.879E-08 1.941E-08 1.565E-08 2.327E-08 8.242E-08 2.997E-07 5.966E-07 4.442E-07 3.161E-07 3.393E-07 3.544E-07 3.738E-07 
ALD2 1.558E-09 1.175E-09 8.604E-10 9.375E-10 9.852E-10 1.036E-09 9.778E-10 1.035E-09 1.512E-09 1.952E-09 1.817E-09 9.897E-10 7.184E-10 5.197E-10 4.581E-10 3.514E-10 1.633E-10 1.617E-10 1.309E-10 4.736E-11 3.688E-11 5.813E-11 2.223E-10 7.98E-10 1.558E-09 1.175E-09 8.604E-10 9.375E-10 9.852E-10 1.036E-09 
HCHO 6.199E-11 4.923E-11 3.725E-11 4.028E-11 4.204E-11 4.409E-11 4.184E-11 4.404E-11 6.24E-11 7.917E-11 7.178E-11 3.97E-11 2.936E-11 2.155E-11 1.911E-11 1.492E-11 7.155E-12 7.109E-12 5.856E-12 2.621E-12 2.21E-12 3.016E-12 9.454E-12 3.19E-11 6.199E-11 4.923E-11 3.725E-11 4.028E-11 4.204E-11 4.409E-11 
ETH 1.421E-08 1.069E-08 7.763E-09 8.416E-09 8.823E-09 9.292E-09 8.777E-09 9.261E-09 1.388E-08 1.783E-08 1.652E-08 8.808E-09 6.444E-09 4.707E-09 4.161E-09 3.166E-09 1.501E-09 1.481E-09 1.211E-09 4.737E-10 3.822E-10 5.703E-10 2.039E-09 7.284E-09 1.421E-08 1.069E-08 7.763E-09 8.416E-09 8.823E-09 9.292E-09 
OLEI 8.119E-09 6.242E-09 4.605E-09 5.007E-09 5.256E-09 5.528E-09 5.243E-09 5.531E-09 8.318E-09 1.064E-08 9.848E-09 5.102E-09 3.71E-09 2.693E-09 2.36E-09 1.826E-09 8.644E-10 8.727E-10 6.997E-10 2.851E-10 2.331E-10 3.385E-10 1.221E-09 4.173E-09 8.119E-09 6.242E-09 4.605E-09 5.007E-09 5.256E-09 5.528E-09 
OLET 9.671E-09 7.435E-09 5.486E-09 5.964E-09 6.262E-09 6.585E-09 6.245E-09 6.588E-09 9.909E-09 1.267E-08 1.173E-08 6.078E-09 4.419E-09 3.208E-09 2.811E-09 2.176E-09 1.03E-09 1.04E-09 8.335E-10 3.397E-10 2.777E-10 4.032E-10 1.455E-09 4.971E-09 9.671E-09 7.435E-09 5.486E-09 5.964E-09 6.262E-09 6.585E-09 
TOL 6.481E-09 9.248E-09 8.238E-09 8.523E-09 8.712E-09 8.933E-09 8.729E-09 8.93E-09 1.083E-08 1.21E-08 7.795E-09 4.444E-09 3.27E-09 2.425E-09 2.135E-09 1.673E-09 9.524E-10 7.122E-10 5.731E-10 2.615E-10 2.237E-10 3.03E-10 9.879E-10 3.34E-09 6.481E-09 9.248E-09 8.238E-09 8.523E-09 8.712E-09 8.933E-09 
XYL 1.687E-09 1.438E-09 1.103E-09 1.178E-09 1.223E-09 1.277E-09 1.223E-09 1.283E-09 1.818E-09 2.244E-09 1.944E-09 1.035E-09 7.607E-10 5.601E-10 4.971E-10 3.923E-10 2.064E-10 2.041E-10 1.638E-10 8.125E-11 7.104E-11 9.216E-11 2.576E-10 8.619E-11 1.687E-09 1.438E-09 1.103E-09 1.178E-09 1.223E-09 1.277E-09 
AONE 1.161E-09 4.24E-09 4.359E-09 4.372E-09 4.374E-09 4.378E-09 4.372E-09 4.383E-09 4.498E-09 4.104E-09 1.948E-09 1.506E-09 1.241E-09 1.044E-09 9.501E-10 9.293E-10 8.399E-10 2.282E-10 2.225E-10 2.07E-10 2.19E-10 2.23E-10 3.347E-10 6.296E-10 1.161E-09 4.24E-09 4.359E-09 4.372E-09 4.374E-09 4.378E-09 
PAR 8.538E-08 9.757E-08 8.483E-08 8.798E-08 9.032E-08 9.317E-08 9.102E-08 9.287E-08 1.205E-07 1.363E-07 1.086E-07 6.21E-08 4.866E-08 3.869E-08 3.463E-08 2.9E-08 1.948E-08 1.657E-08 1.477E-08 1.152E-08 1.115E-08 1.196E-08 2.14E-08 4.823E-08 8.538E-08 9.757E-08 8.483E-08 8.798E-08 9.032E-08 9.317E-08 
ISOP 1.98E-10 2.31E-10 2.584E-10 3.578E-10 4.85E-10 5.555E-10 5.414E-10 4.827E-10 4.462E-10 5.256E-10 4.185E-10 8.202E-11 6.314E-11 4.876E-11 4.268E-11 3.693E-11 2.757E-11 2.419E-11 2.24E-11 1.792E-11 1.603E-11 1.552E-11 2.42E-11 1.342E-10 1.98E-10 2.31E-10 2.584E-10 3.578E-10 4.85E-10 5.555E-10 
CH3OH 2.807E-10 7.239E-10 8.167E-10 8.167E-10 8.167E-10 8.166E-10 8.162E-10 8.167E-10 8.167E-10 6.418E-10 4.387E-10 3.027E-10 1.687E-10 7.941E-11 3.452E-11 3.41E-11 3.349E-11 2.437E-12 2.437E-12 2.437E-12 2.886E-12 2.886E-12 4.777E-11 1.385E-10 2.807E-10 7.239E-10 8.167E-10 8.167E-10 8.167E-10 8.166E-10 
